1998年3月,東京都港区に当社設立,
1999年4月,本店の所在地を東京都港区北青山三丁目5番30号に移転,
2000年3月,東京証券取引所新興企業市場(マザーズ)に上場,
2000年3月,本店の所在地を東京都渋谷区道玄坂一丁目12番1号(渋谷マークシティ)に移転,
2000年5月,モバイル関連事業を行う「(株)シーエー・モバイル( 現・(株)CAM) 」を設立,
2004年9月,「Ameba」を開始,
2009年4月,スマートフォンに特化した広告代理事業を行う「(株)CyberZ」を設立,
2009年5月,「(株)サムザップ」を設立し、ゲーム事業を本格的に開始,
2011年5月,ゲーム事業強化のため「(株)Cygames」を設立,
2012年6月,スマートフォン向け「Ameba」を開始,
2013年5月,クラウドファンディングサービスを行う「(株)サイバーエージェント・クラウドファンディング(現・(株)マクアケ)」を設立,
2013年5月,小学生向けプログラミング教育事業を行う「(株)CA Tech Kids」を設立,
2013年12月,マッチングサービス「タップル」を運営する「(株)マッチングエージェント(2020年11月1日(株)タップルへ社名変更)」を設立,
2014年4月,ゲーム事業強化のため、「(株)Craft Egg」を設立,
2014年9月,東京証券取引所市場第一部へ市場変更,
2014年11月,エイベックス・デジタル(株)との共同出資により音楽配信サービスを行う持分法適用関連会社「AWA(株)」を設立,
2015年4月,コーポレート及び「Ameba」のブランドロゴを一新,
2015年4月,(株)テレビ朝日との共同出資により動画配信事業を行う「(株)AbemaTV」を設立,
2016年4月,(株)AbemaTVにおいて、テレビ&ビデオエンターテインメント「AbemaTV(現・ABEMA)」を開局,
2018年10月,J リーグクラブ「FC町田ゼルビア」を運営する「(株)ゼルビア」のグループ参画,
2018年10月,(株)AbemaTVと(株)電通、(株)博報堂DYメディアパートナーズの資本業務提携,
2019年3月,本店の所在地を東京都渋谷区宇田川町40番1号(Abema Towers)に移転,
2020年6月,「ABEMA」が有料オンラインライブ「PayPerVi ew」機能をリリース,
